44,22,0
45,35,0
47,29,0
16,47,0
15,33,1
49,9,1
26,22,1
34,47,1
31,26,0
33,27,0
13,14,1
12,26,0
0,31,0
37,41,1
23,8,0
12,8,1
1,48,1
29,40,1
15,40,0
46,35,0
38,42,1
48,26,1
40,23,0
43,38,0
48,48,0
16,20,1
46,30,0
8,45,1
25,40,0
44,45,1
0,25,0
9,23,1
36,27,1
18,4,1
13,0,1
26,12,1
18,12,0
9,3,1
30,32,1
37,34,0
6,47,0
38,22,1
1,19,0
5,29,0
25,41,1
15,27,0
15,37,0
19,34,0
49,18,1
17,8,1
31,35,1
43,26,0
30,25,0
13,44,1
17,31,0
39,35,1
9,17,0
17,5,1
21,7,1
45,45,1
12,0,1
20,31,1
20,43,0
25,32,0
10,17,1
31,46,1
0,18,0
14,1,1
3,8,0
30,33,1
45,3,1
49,10,1
32,5,0
23,23,1
39,10,0
33,2,0
31,42,0
8,27,0
19,12,1
7,20,1
0,6,1
43,0,0
4,3,1
44,29,0
28,8,0
30,13,1
8,39,0
30,6,1
39,6,0
26,27,0
34,9,1
32,49,1
41,26,1
29,4,1
18,29,1
27,46,0
14,45,0
25,30,0
48,13,0
22,27,1
