0,1451,-1
0,2341,-1
0,2897,-1
0,3594,-1
0,4485,-1
0,4814,-1
0,5369,-1
0,6019,-1
0,6409,-1
0,6598,-1
0,7328,-1
0,7364,-1
0,7442,-1
0,7949,-1
0,7960,-1
0,8720,-1
0,8795,-1
0,8886,-1
0,9446,-1
0,9572,-1
1,168,1
1,441,1
1,755,1
1,1028,1
1,1430,1
1,1730,1
1,2671,1
1,2913,1
1,3469,-1
1,3861,1
1,3917,1
1,4271,1
1,4649,1
1,4945,1
1,5885,1
1,5894,1
1,6042,1
1,6690,1
1,6861,1
1,6985,1
1,7416,1
1,7604,1
1,7827,1
1,7848,1
1,8190,1
1,8340,1
1,8408,1
1,9089,1
1,9128,1
1,9291,1
1,9387,1
1,9512,1
1,9582,1
1,9636,1
1,9820,1
2,159,1
2,375,1
2,400,1
2,583,1
2,763,1
2,1305,1
2,1336,1
2,1697,1
2,1942,-1
2,2287,1
2,2358,1
2,3225,1
2,3291,1
2,3675,1
2,3883,1
2,4264,1
2,4421,1
2,4814,1
2,4929,1
2,4969,1
2,5034,1
2,5126,1
2,5959,1
2,6250,1
2,6815,1
2,7011,1
2,7035,1
2,7455,1
2,7627,1
2,7774,1
2,7797,1
2,8102,1
2,8383,1
2,8547,1
2,8558,1
2,8902,1
2,9064,1
2,9478,1
2,9483,1
2,9666,1
3,296,1
3,404,1
3,1460,1
3,2214,1
3,2449,1
3,3320,1
3,3407,1
3,3908,1
3,3955,1
3,4958,1
3,4997,1
3,5164,1
3,5220,1
3,5276,1
3,5461,1
3,5717,1
3,5790,1
3,5840,1
3,6084,1
3,6085,1
3,6211,1
3,6826,1
3,7268,1
3,7594,1
3,7714,1
3,7931,1
3,8234,1
3,8386,1
3,8480,1
3,8562,1
3,8568,1
3,9014,1
3,9133,1
3,9148,1
3,9264,1
3,9301,1
3,9419,1
3,9521,1
4,426,1
4,878,1
4,963,1
4,2132,1
4,2451,1
4,2680,1
4,4631,1
4,4786,1
4,5145,1
4,5328,1
4,5740,1
4,5864,1
4,6637,1
4,6795,1
4,7153,1
4,7254,1
4,7610,1
4,7652,1
4,8047,1
4,8343,1
4,8350,1
4,8364,1
4,9005,1
4,9181,1
4,9476,-1
4,9860,1
5,35,1
5,91,1
5,422,1
5,1094,1
5,1123,1
5,1806,1
5,1816,1
5,2468,1
5,2750,1
5,3282,-1
5,3764,1
5,4097,1
5,4498,1
5,4956,1
5,5053,1
5,5062,1
5,5117,1
5,5673,1
5,5681,1
5,6094,1
5,6533,1
5,6913,1
5,7395,1
5,7908,1
5,8096,1
5,8154,1
5,8891,1
5,9132,1
5,9626,1
5,9877,1
5,9961,1
6,1772,-1
6,4444,-1
6,5304,-1
6,5306,-1
6,9549,-1
7,75,1
7,369,1
7,1399,1
7,1409,1
7,1820,1
7,1919,1
7,1921,1
7,2106,1
7,2567,1
7,2962,1
7,3253,1
7,3507,1
7,3524,1
7,3892,1
7,4491,1
7,4611,1
7,5786,1
7,5840,1
7,6111,1
7,6154,-1
7,6374,1
7,6398,1
7,6415,1
7,6843,1
7,7059,1
7,7523,1
7,7531,1
7,7592,1
7,7791,1
7,8217,1
7,8526,1
7,8649,1
7,8729,1
7,8832,1
7,9114,1
7,9286,1
7,9301,1
7,9854,1
8,314,1
8,410,1
8,411,1
8,546,1
8,555,1
8,623,1
8,1255,1
8,1371,1
8,1416,1
8,1533,1
8,1692,1
8,1713,1
8,1805,1
8,1849,1
8,2300,1
8,2756,1
8,2963,1
8,2971,1
8,3130,1
8,3401,1
8,3423,1
8,4221,1
